HITId,tweet,sentiment,directness,annotator_sentiment,target,group,translated_tweet
1,rt @user personnage ainsi q tte la clique gauchiste deguise 1 macronistes !!ont ttes ls qualites requises qui ont etaient inculq,abusive,direct,shock,origin,other,rt @user character as well as the leftist clique disguised as 1 macronists!! they have the required qualities which were inculcated
2,@user @user @user bah oui t'as raison l'autre c'est un mongol.,offensive,indirect,shock,other,individual,@user @user @user well yes you're right the other one is a Mongolian.
3,moi j'ai personne à qui m'adresser pour réclamer. le voisin c'est un attardé puant et bruyant dans les administrat… @url,hateful,direct,anger_confusion_sadness_fear_disgust,other,women,I have no one to contact to complain. the neighbor is a stinking and noisy retard in the administration… @url
4,@user @user c...est vrai que les anchois sont aller sur la lune et invente de million de technologie !,normal,indirect,indifference,other,other,@user @user it's true that anchovies went to the moon and invented millions of technologies!
5,eh les renois faut se réveiller la @url,normal,direct,sadness,origin,african_descent,eh the renois must wake up @url
6,@user @user en algerie les migrants sont expulsés dans le désert je crois bien qu'ils ont une autre vision… @url,offensive,indirect,indifference,other,immigrants,@user @user in Algeria migrants are expelled into the desert I believe they have another vision… @url
7,@user sjw et féministe twitter un sale combo,normal,indirect,sadness_indifference,other,women,@user sjw and feminist twitter a dirty combo
8,@user @user tu sais aussi pourquoi est au dessus ? parce que si veut demain bah ya plus d'ani... @url,normal,indirect,indifference,other,other,@user @user do you also know why is above? because tomorrow there will be no more entertainment... @url
9,@user @user mytho t'as juste voulu te faire ken par les renois de ton lycée ils ont pas voulu de to… @url,offensive,indirect,indifference_disgust,other,individual,@user @user mytho you just wanted to be ken by the renois of your high school they didn't want to… @url
10,c’est un giga attardé mdrrr ils va vraiment se faire shoote @url,offensive,direct,indifference,origin,individual,he's a gigantic retard lol they're really going to get shot @url
11,#duisburg 4 réfugiés arabes lardent de coups de couteau une ado allemande enceinte de 5 mois qui cru qu’elle p… @url,hateful,direct,sadness,origin,arabs,#duisburg 4 Arab refugees stabbed a 5-month pregnant German teenager who thought she was… @url
12,@user dekoi tu parle jte dis ta ps honte de dire half black lieu de half pakpak attardé,normal,direct,indifference,origin,indian/hindu,@user dekoi you speak I say your ps ashamed to say half black instead of half pakpak retard
