ID,Text,Offensive,HateSpeech,Vulgarity,Violence
8888,@USER افطرت عليك بعقاء واثنين من فروخها الجن,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8889,"#داليا_مبارك
مادري ليش تقرفت",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8890,"RT @USER ابديت السناب  الجديد 
حاس الناس حوس ،أشوف مشاهير. تضيفني، مشاهير تتابع يومياتي ، ابديت كرهني بالسناب  كله",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8891,@USER هييه والله وااايدد,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8892,اكيد اخس شي  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8893,مابي شي الحين غير فراشي,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8894,RT @USER اقسم بالله عيب اللي يصير,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8895,@USER اه هذا واش عندوا زيادة,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8896,@USER اذكر الله يامل الحتسه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8897,"RT @USER ابتلشت بالقرد  
القرد عاد نفسه فرد من العائله !  URL",OFF,NOT_HS,NOT_VLG,NOT_VIO
8898,@USER اما ساحبه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8899,"#حب_الانتر_نت_صدق_او_كذب 
لا صدق ولا كذب.. لعب بالمشاعر فقط. وإذا تعلقت في من تحب ""حظرك"" ..  هنا وقتها تحط موجوع قلبي",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8900,@USER حيوان هذا,OFF,NOT_HS,NOT_VLG,NOT_VIO
8901,"RT @USER #كلمه_لحظك 
 احتاج غرفة فاضيه فيها..
أنـا
وحظي
ونعال
امردغه أمردغه امردغه
ورجاءً لحد يتدخل",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8902,"الا الحاجه اللي مابتتعوضش
#كله_بيتعوض_الا",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8903,@USER نبغاك تفك النصر من شرك كافي مادهرته بتطبيلك وتضليلك لادارة الجهل السابقة التي حاست النصر واضعفته وانت كنت المضلل الكبير لها !! خلاص ياعبدالعزيز كرتك احترق والمفروض تتوارى عن النصر فليس لك قبول من الجميع !,OFF,HS3,NOT_VLG,NOT_VIO
8904,@USER انا مقرره اتوب بس ذا طلعني عن طوري,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8905,"#سعوديه_الاصل_و_المنشا 
 #أبن_مدعج_الوايلي_ربع_مليون 
الاشكال هذي اللي تطلع بالاعلام وتقول انا سعوديه 
وللاسف الاعلام السعودي نايم ومكبر الوساده ومخليهم على راحتهم يمثلون الوطن بشكل غير صحيح  URL",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8906,هالتونسيه تطقطق علينا هالوقت معليش تمون :اجل نهار ومساء .,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8907,"@USER بنت الفراش ومنقهرة وعشان كذا نطيتي في منشني وتقولين انقلعي 
ههههههههههههههههههههههههههههههههه
الخلا منااك متخلفه",OFF,NOT_HS,NOT_VLG,NOT_VIO
8908,@USER قسم بالله ي شبيه الرجال هاذي انهم يتميلحون,OFF,NOT_HS,NOT_VLG,NOT_VIO
8909,@USER ماملت عينك القصه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8910,"مدري ماشفنا الا اصدقاء الهموم والسلف 

#اصدقا_الوناسه_وينهم",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8911,مطرح ما يمشي يمشي   يوم شكله مش معدي  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8912,هذا فود باطح اقلعوا فينقر لعنة الله عليكم  URL,OFF,NOT_HS,NOT_VLG,NOT_VIO
8913,@USER السبب هما الحمدين لاحمد الله لهما وهولاء الاثنين  URL,OFF,NOT_HS,NOT_VLG,NOT_VIO
8914,@USER انا بنت,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8915,"RT @USER -بابا هو انا لو نجحت هتفرح؟
=ده انا هموت م الفرحه..
-وانا سقطت عشان مقدرش اعيش من غيرك",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8916,@USER ايش قلة الحيا ذي,OFF,NOT_HS,NOT_VLG,NOT_VIO
8917,@USER خروفات,OFF,NOT_HS,NOT_VLG,NOT_VIO
8918,RT @USER استغفر الله بنات بدايه شغالين على هالصبح احسب في توينز يناشدون الملك سلمان ولا منجزين شي دامهم في قلوبنا وبكره يطلعون من ال…,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8919,@USER الهنديه ؟,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8920,وااااه لعنةةة اللله عليهمم احسبها قفلة الحلقه الاولى تفووو عليكم ما افشلكم يارب تفلسون ياارب ماعندكم اي حس فني في الانتاج URL,OFF,NOT_HS,NOT_VLG,NOT_VIO
8921,"صباح الخير لاولئك الذين لم يناموا الا لبضع ساعات واستيقظوا اجتهادا وطلباً للعلم ♥️
ولا عزاء للنائمين",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8922,@USER تعالي خاص وافهمتس بكل شي  واوريتس بعد,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8923,"@USER ياساتر في الطاقية الله يكرم النعمة
جدتي تقول اللي ما يحضر يودون له قسمه
يا إنهم فيهم خير زمان الله يرحمهم جميعاً",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8924,#بايع_الكليجا اشوف واتعجب ل هدرجه مابقى فيه حياء ؟ شهرتوا بالولد وجبتوا اسمه والحين هاشتاق !! يععع من جد تخلف,OFF,NOT_HS,NOT_VLG,NOT_VIO
8925,@USER سألي لاه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8926,"الركض والضحك اذا اجتمعوا !

 يتحول الشخص لمعاق ☺

#الُـِـِِـِِِـِِـِـنـِِـِـجـاار",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8927,@USER عيوشوانتي شريكتي حياة,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8928,@USER بالله صدق، URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8929,واخير ود ع كل ذكر ملعون يخق ع اليهوديات وع العاريات ع الاقل خقينا ع ولد بلدنا ام انتم تخقون ع الاشياء الرخيصه ي رخيص #بايع_الكليجا,OFF,HS6,NOT_VLG,NOT_VIO
8930,"@USER وحسيت ان في شي غلط باذوني كل ما اسمعها، الى ان دورت الكلمات ولقيت هذي المقالة عن ""حرص"" زين على تقوية الفصحى لدى الجيل الجديد، بعدين ما قدرت استحمل",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8931,"@USER اقول اكلي خره والله يحشرج مع ابن القحبه صدام الخنزير المقبور .. لمن بتتفلسفين يطلع من حلجج زق كفايه تفلسف حتى اسمه مو عارفته ترا اسمه شعيب وكلمة ""سوار"" نكايه على السوار الهديه اللي يهديه لضيوفه بكل حلقه .. حسستيني ان برنامج اكشن يا دوري اسم المقدم فيه هو ""اكشن""",OFF,NOT_HS,VLG,NOT_VIO
8932,"#بايع_الكليجا الله يرزقه 

# البنات ان لم تستحي فافعل ماشئت",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8933,@USER شايف افتارك,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8934,RT @USER السنة دي مش سالكة والله,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8935,"RT @USER انا اتعب في التنظيف و ولدي #الديوث جالس يحلب زبه على جسمي  … طيب قولي انك تبي #طيزي احسن ما حليب يروح عالفاضي  
#زينب_ام_طي…",OFF,NOT_HS,VLG,NOT_VIO
8936,@USER مع الاسف منظر موسف جداً,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8937,@USER ههههههههههههههههههههههههههه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8938,"انا بحب يوم الخميس اوي باجي من السكن بلاقي ماما عمله كل الاكل اللي بحبه 
والحمد لله بهضمه يوم الجمعه مع النزول واللف مع صحابي
وبرجعوا اما باجي السكن تاني",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8939,@USER ياتسبدددديه من ذا,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8940,"@USER بيسقط راسك انت عن جسمك &gt;&gt;جمله ورديتها لك ان كنت تقصد بها دعوه فبترجع لك لان الله مايستجيب دعوة الظالم ياظالم فالله يردها لك &lt;&lt;جنيت ع نفسك يالجاهل ههههههه

ويلا خذ لك بلوك بكعب جزمتي واقلب وجهك  URL",OFF,NOT_HS,NOT_VLG,VIO
8941,مش بعرف اذاكر وانت قلقانه علي مصر  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8942,صار ترند  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8943,@USER شهر 3,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8944,"RT @USER #بايع_الكليجا
ما أستغرب حثالة بعض البنات. أنا جيت الرياض يومين وشفت العجب.. الى حد التصوير سيلفي 
لا أعمم ولكن فيه حثاله…",OFF,HS6,NOT_VLG,NOT_VIO
8945,الله يفرج همها ويحل مشكلتها على خير للاسف ان قضيتها فيه مئات البنات زيها المصيبه ان مماطلة وتسلط بعض القضاة يزيد من عناد الرجل ويجهد المرأه اللي يروح عمرها على سنوات من الانتظار هذا غير ان المحاكم مهمشين العامل النفسي #مهجوره_اربع_سنه_اريد_فك_قيودي,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8946,@USER ليه يالا يا علق والله انت واحشنى,OFF,NOT_HS,NOT_VLG,NOT_VIO
8947,@USER انتي هنا جاوبي ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8948,الله يفضح عرض الي اخترع الانتركوم والجرس,OFF,NOT_HS,NOT_VLG,NOT_VIO
8949,"#ضع_لجنه_في_اسم_فيلم
قبضه اللجان",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8950,"@USER مازال كلين ٩ يحقق المركز الاول في النتائج 

 على مستوى منتجات انقاص الوزن 

اثبت فاعليته بجدارة 

وانت/ ي  ماذا تنتظر/ي ☝

ضاعت احلى سنين العمر في السمنه 

لاداعي للقلق مع مجموعات كلين ٩ 

لانقاص الوزن 

كلين ٩ لانقاص الوزن URL",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8951,RT @USER لو اول يناير جه ومحدش بعتلي stay with me in2018 هولع ف نفسي وفي الاكونت واللي بيقرا التويته دي الوقت‍♂️,OFF,NOT_HS,NOT_VLG,NOT_VIO
8952,ايه اهم اولوياتك الفترة دي ؟ — اعدي الترم صافي  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8953,@USER السومة وش يبي,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8954,"#بايع_الكليجا

.

الله يحفظه لااهله وين ماحلت خطاويه 
وأنتم ي خرفان بنت ترامب ووووو........
 كلو تبن مسوين يعننا ‍♀️",OFF,HS6,NOT_VLG,NOT_VIO
8955,"@USER مستحيل سييرا استلم كل شي مع انمار الحائلي و احمد كعكي 

عيال الخيمة ضد سييرا 

اذا نواف المقيرن طرد سييرا راح ينجلد مثل الكلب البلوي و جمجوم 

سييرا خط احمر",OFF,NOT_HS,NOT_VLG,NOT_VIO
8956,@USER يحقق المدود المالي المناسب لاتحاد الكره,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8957,@USER ههههههههههههههه. جابلي مر,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8958,"#بايع_الكليجا

هذا وانا استغفر الله لو يبيع زق صار الزق حلو

صح ان الغيره طاقتني طق بس الحق لله جميل ابن الكلب من شفته وانا كارهني ومتحسف ادفع 15 ريال قيمة حلاقه ع وجهي",OFF,NOT_HS,NOT_VLG,NOT_VIO
8959,@USER دي ما ثقافة دي قلة تربيه دي,OFF,NOT_HS,NOT_VLG,NOT_VIO
8960,"حبيت الخيل !
لاني شفت في شموخها "" انا ""
في عزتها "" انا ""
في جمالها العربي "" انا ""
لله دره 
#شهد_الزايدي",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8961,@USER ابك افزعي لي جعلك المغص شوفيه وش يقول,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8962,"#اصدقا_الوناسه_وينهم
خاطري اخذ لي قروب بنات ونكشت بالبر ونصيد وناخذ لنا كم يوم نبي نفلها واهم نقطه المنطقه تكون شبكة النت كذا عشان اضمن ولابنت فيهم تمسك الجوال 
ونعيش الجو كذا",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8963,"@USER حضرتك تكسلنا وتنزلنا شيفتاتك فمانعرفش نحضر يوجا، وتروح انت تحضرها وتكتب ""يوجا "" ؟",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8964,@USER دي نظام انا راااقدة رز مندي تعال اطرح لي,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8965,"ده الادب احسن من البجاحه 
ياراكب قطر التناحه",OFF,NOT_HS,NOT_VLG,NOT_VIO
8966,@USER الله يغث العدوو...,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8967,"@USER مره تحطي صورة واحده طويله وبترقص ومش فاهم ليه."" 
ومره تحطي صورة واحده سمراء ومش عارف دي مين."" 
ارسيلك ع حل والنبي.""",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8968,@USER اذكر الله هو اليوم وبس,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8969,"مازلتم متمسكين بالإمارات 

تباً لكم  URL",OFF,HS1,NOT_VLG,NOT_VIO
8970,جسمي متكسر من المسيرة,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8971,@USER معليك ذولا المستشرفات امرض ناس بمجتمعنا باحثه عن الاهتمام,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8972,كل من حجز تذكره وهو ما يحتاجها الله لا يوفقك لا دنيا ولا اخره,OFF,NOT_HS,NOT_VLG,NOT_VIO
8973,هذولي كل يوم لا تصبحين عليهم و صباح النور يا النور كله  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8974,@USER استاذة مشاعل نفسيتي الحييييييييييييييييييين نفسية واحد متزوج اربع وكلهم معهم الدورة الشهرية,OFF,NOT_HS,NOT_VLG,NOT_VIO
8975,@USER تقدر تستضيفني بخصوص هذا الموضوع كأحد المحبوبين,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8976,RT @USER العامل يشرح للمعزّب إن الخروف صار صديقه حتى ما يذبحه  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8977,حق الداومين ، ودي امر عليكم واعطيكم كوكيز ووباقة  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8978,"RT @USER بوه ناس يحبونك وقت الفراغ 
وبوه ناس يتفرغون لحبك 
#فرق 
#صفقو_لي",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8979,ابتسمفإنها خربانه خربانه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8980,أصعب فتره وعمر مر عليك كم؟ — لما كنت سنة ثانية جامعة URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8981,RT @USER ابي خروف #خروف #سنابي #كلب #كلبه #قحبه #خنيث #عمه #عمتكم #مسترس #ساديه #دفيع #كاش URL,OFF,NOT_HS,VLG,NOT_VIO
8982,"@USER البعر بعر ولا ينخدع بمن كشفت خباياه وخبثه وعمالته للصهاينة والماسون مرة تلو مرة إلا البعر مثله والسذج الأغبياء كذلك من لازال يتابع العريفي والقرني ولم يطلع على حقيقتهم!
#بعض_البقر_حمير لا يفهم!!
#للجماهير_رؤوس_كثيرة_ودماغ_واحد
#ألك_رأس_للدبوس_أيضاً_رأس
هناك سذج! هناك إستغلال! URL",OFF,HS3,NOT_VLG,NOT_VIO
8983,@USER عطوني شي اهفها فيها ي عرب,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8984,"RT @USER الــنساء كالفــواكـه..
  لكل إمرأه طعم ولـون مميز..
بس المشكله الرجال يحبوا (سـلطه فواكهه)

#قروب_التايب_للدعم #الكنق_بد…",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8985,@USER أي مسلمين أي خرابيط انت تكلم نفسك فتويتر ومحد ماعطيك وجه غيري لأنني كنت أحسب انك تتناقش باحترام بس طلعت ماتسوى,OFF,HS2,NOT_VLG,NOT_VIO
8986,مدري شدخل الرقه والانوثه بأنك تخافين من بسه ؟,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8987,@USER ههههههههههههههههههههههههههههههههه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
