HITId,tweet,sentiment,directness,annotator_sentiment,target,group,translated tweet
1,صلاة الفجر خير لك من ترديد بول البعير وسبي النساء واغتصاب طفلة نظافة ونشاط وحيوية #عقلانيون,hateful_normal,indirect,shock,gender,individual,"Fajr prayer is better for you than repeating the urine of a camel, the captivity of women, and the rape of a child. Cleanliness, activity and vitality #rationalists"
2,صراحة نفسي اشوف ولاد الوسخة اللي قالوا مدرب اجنبي منك لله ربنا ياخدك ي… @url,offensive,indirect,anger_confusion_sadness_indifference_disgust,other,other,"Frankly, I want to see the dirty kids who said there is a foreign coach than you, for God’s sake, may God take you... @url"
3,طيب! هي متبرجة وعبايتها ملونه وطالعة من بيتهم بدون ....... @url,offensive,indirect,indifference,other,individual,good! She is wearing a colorful abaya and leaves their house without ....... @url
4,@user @user انا اوافقك بخصوص السوريين و العراقيين اما بخصوص السعودي مو بحاجه انه يقعد بالكويت بدو… @url,normal,direct,indifference,origin,other,"@user @user I agree with you regarding the Syrians and Iraqis, but regarding the Saudi, there is no need for him to sit in Kuwait without... @url"
5,هذه السعودية التي شعبها شعب الخيم و بول البعير  الذي يستهزأ بها الناس,normal,indirect,indifference,origin,other,"This is Saudi Arabia, whose people are people of tents and camel urine, which people mock"
6,ما عارف كنت شايفها منحرفة شديد وانا صغير ليه @url,offensive_disrespectful,direct,indifference,gender,individual,I don't know why I thought she was so perverted when I was young @url
7,@user @user تخيل يرد عليك يقولك حسب معلوماتنا ان سكان الارض يشربون بول البعير,offensive_normal,indirect,shock,other,individual,"@user @user Imagine someone responding to you and telling you, according to our information, that the inhabitants of the Earth drink camel urine"
8,صباح التوكل على الله والسعي على رزقه والثقة فيما عنده #افريقيا_يا_اهلى,normal,indirect,indifference,other,other,"Morning of trusting in God, striving for His provision, and trusting in what He has #Africa_oh_my_family"
9,وانتي مال امك يا مطلقة يا بايرة ياوش قنوات @url,offensive_disrespectful,direct,disgust,gender,women,"And you are your mother’s money, you divorced woman, you are a loser, you are using @url channels"
10,@user @user الكردي كلب من يوم يومه بحاجة دائما لسيد وهلا اصبحتم خنازير اسرائيل بمرتبة الكلب,hateful,direct,shock_disgust,origin,other,"@user @user The Kurdish is a dog from day to day always in need of a master, and now you, Israel’s pigs, have become of the rank of dogs"
11,@user و مدعمتهاش ليه فى كاس العالم يا جبان يا وسخ,offensive,direct,disgust,other,individual,"@user Why didn't you support her in the World Cup, you coward, you bastard"
12,خنازير فعلت فعلاً ..,abusive_disrespectful,indirect,indifference,other,other,Pigs actually did it.
13,لكن حرمة متبرجة تقف على المسرح وتغني امام الر… @url,normal,indirect,indifference,gender,women,But a fully-dressed Hurmah stands on the stage and sings in front of the… @url
14,@user @user ابن سلمان ابن ملك  بن ملك معروف من جد من لاب ومن الام رجال قهر خنازير المجوس وذنابها.… @user,fearful,direct,sadness,other,individual,@user @user Ibn Salman Ibn Malik Ibn Malik is known from father and mother to the men who conquered the pigs of the Magi and their tails.… @user
15,ي قصارية ي بايرة,offensive,direct,shock,other,individual,Ya kasaryah ya bayera
16,يارب انصرنا #افريقيا_يا_اهلي,normal,indirect,sadness,other,other,"O Lord, grant us victory #Africa_oh_my_family"
17,@user @user @user واضح انكم تكذبوها ع سالفه ان الحريم يقعدن بالارض  ولا انا فهمت غلط ودرعمت؟,offensive,indirect,indifference,gender,women,"@user @user @user It is clear that you are denying the above statement that women are sitting on the ground, or did I understand it wrong and did you support it?"
18,واحده بايره,abusive_disrespectful,indirect,indifference,other,women,One good one
19,@user @user اعراب همج. ايش تتوقع من شاربين بول البعير,abusive_hateful,direct,indifference,other,arabs,@user @user Barbaric parsing. What do you expect from those who drink camel urine?
20,زمان كان الرجال فوق الخيل والحريم يتفرجون والان صا… @url,normal,indirect,sadness,other,other,"In the past, men were on horses and harems were watching, and now it is… @url"
21,@user @user انت اكبر المشردين بايع ارضك وعرضك وتتكلم على اسيادك السعودية  ي كلب ي مرتزق ي خنزير,hateful,direct,indifference,other,other,"@user @user You are the biggest of the displaced, you pledge allegiance to your land and honor, and you talk about your masters, Saudi Arabia, you are a dog, you are a mercenary, you are a pig."
22,جواب على متدخل من الحسيمة...فقد صوابه و بدأ يتكلم عن بول البعير..و  عن رحيل احباب العربية..لا اعرف اين؟ هل الى اورو… @user,offensive,indirect,indifference,other,individual,Answer to an interventionist from Al Hoceima... He lost his mind and started talking about the camel’s urine... and the departure of the beloved Arabs... I don’t know where? Is it for Euro... @user
23,@user @user @user كتب الشيعة تطفح بروايات شرب بول البعير عن الصادق والكاظم أنتي قاعده تسبين الصا… @url,normal,direct,indifference,other,other,@user @user @user Shiite books are overflowing with accounts of drinking camel’s urine from Al-Sadiq and Al-Kadhim. You are constantly cursing Al-Saadi… @url
24,@user @user @user @user يا شارب بول البعير روح خذ لك كاس بول بعير مصفى وأشربوا على شرف إللي ما عودو شرف بن خرفان,disrespectful,direct,indifference,other,individual,"@user @user @user @user You drinker of camel urine, go and take a cup of filtered camel urine and drink in honor of those who are no longer the honor of the son of sheep."
25,الصور العارية واجسام البنات ومقاطع منحرفة ، ستشهد عليها الاصابع يوم القيامة ، كفاكم استهانة قالجنة اغلى,normal,indirect,indifference,gender,other,"Naked pictures, girls’ bodies, and perverted clips, the fingers will bear witness to them on the Day of Resurrection. Stop belittling them, Paradise is more precious."
26,@user @user @user يعني مش هيك بعبرو عن التحرش الجنسي بلبنان,offensive,indirect,indifference_disgust,origin,other,"@user @user @user I mean, this is not how I express sexual harassment in Lebanon"
27,@user @user صح لسانك بس الكلب وفي وهذا خنزير نتن,hateful,direct,shock,origin,individual,"@user @user Be honest, but the dog is loyal and this is a stinky pig"
28,@user @user @user أمك وأختك هي بنت 100 خنزير يا شاربي بول البعير يا متخلفون,abusive,direct,disgust,other,individual,"@user @user @user Your mother and your sister are the daughters of 100 pigs, you drinkers of camel urine, you retarded people"
29,@user @user والضرب في كسمك حلال مفيش حد يقدر يغلب مصري في الكلال كسمك ع كسمه ي شواذ ي ولاد الوسخة بتشك… @url,offensive,direct,disgust,origin,individual,"@user @user And hitting your body is permissible. No one can beat an Egyptian in fatigue. You are gay, you dirty boys, you complain... @url"
